160,160
80,80,0,15
83,107,1,15
42,103,2,15
152,49,3,15
107,139,4,15
51,70,5,15
146,78,6,15
21,51,7,15
75,143,8,15
92,74,9,15
20,109,10,15
99,153,11,15
83,135,12,15
2,74,13,15
158,72,14,15
120,97,15,15
123,52,16,15
58,100,17,15
76,30,18,15
48,48,19,15
155,136,20,15
139,4,21,15
6,78,22,15
52,121,23,15
148,109,24,15
43,125,25,15
26,39,26,15
20,83,27,15
154,141,28,15
25,131,29,15
18,146,30,15
106,60,31,15
71,86,32,15
66,2,33,15
65,58,34,15
121,91,35,15
25,42,36,15
20,63,37,15
127,80,38,15
156,103,39,15
125,80,40,15
53,156,41,15
117,1,42,15
110,143,43,15
73,137,44,15
67,148,45,15
121,140,46,15
79,89,47,15
146,85,48,15
12,33,49,15
42,94,50,15
