300,300
150,150,0,15
257,180,1,15
154,221,2,15
283,61,3,15
281,170,4,15
103,17,5,15
205,93,6,15
99,232,7,15
115,93,8,15
11,25,9,15
29,103,10,15
49,155,11,15
120,85,12,15
248,46,13,15
39,296,14,15
37,216,15,15
57,198,16,15
267,16,17,15
151,299,18,15
53,86,19,15
280,196,20,15
53,142,21,15
233,64,22,15
69,62,23,15
35,280,24,15
151,171,25,15
283,294,26,15
185,37,27,15
276,264,28,15
97,49,29,15
172,110,30,15
66,130,31,15
119,153,32,15
134,119,33,15
27,241,34,15
209,147,35,15
230,268,36,15
121,30,37,15
34,133,38,15
173,75,39,15
293,238,40,15
147,299,41,15
193,197,42,15
291,99,43,15
188,108,44,15
250,137,45,15
178,100,46,15
171,77,47,15
263,18,48,15
162,49,49,15
13,150,50,15
197,265,51,15
187,166,52,15
262,129,53,15
181,95,54,15
284,211,55,15
51,106,56,15
32,110,57,15
219,197,58,15
150,190,59,15
298,124,60,15
232,39,61,15
269,76,62,15
84,41,63,15
185,47,64,15
69,197,65,15
126,73,66,15
0,267,67,15
243,107,68,15
0,66,69,15
24,5,70,15
26,188,71,15
222,185,72,15
185,249,73,15
141,290,74,15
133,4,75,15
43,66,76,15
294,108,77,15
191,230,78,15
41,282,79,15
121,294,80,15
259,239,81,15
257,132,82,15
86,117,83,15
208,201,84,15
55,238,85,15
64,225,86,15
98,170,87,15
212,221,88,15
127,2,89,15
182,210,90,15
241,190,91,15
194,58,92,15
222,22,93,15
243,181,94,15
149,64,95,15
80,264,96,15
177,273,97,15
161,197,98,15
19,120,99,15
199,230,100,15
18,3,101,15
300,57,102,15
123,225,103,15
69,161,104,15
114,45,105,15
171,299,106,15
70,25,107,15
210,67,108,15
56,19,109,15
245,97,110,15
59,102,111,15
38,202,112,15
136,76,113,15
254,139,114,15
34,48,115,15
5,6,116,15
269,59,117,15
83,189,118,15
192,218,119,15
43,283,120,15
168,217,121,15
4,71,122,15
257,193,123,15
74,298,124,15
181,256,125,15
141,102,126,15
233,246,127,15
211,165,128,15
190,79,129,15
5,162,130,15
135,231,131,15
298,256,132,15
155,25,133,15
127,75,134,15
39,4,135,15
89,131,136,15
196,287,137,15
187,162,138,15
246,87,139,15
7,148,140,15
257,3,141,15
231,20,142,15
201,23,143,15
288,120,144,15
214,236,145,15
298,2,146,15
46,79,147,15
19,76,148,15
212,99,149,15
94,277,150,15
146,255,151,15
300,145,152,15
67,112,153,15
223,230,154,15
296,244,155,15
149,179,156,15
189,73,157,15
135,62,158,15
228,38,159,15
295,80,160,15
87,245,161,15
222,81,162,15
140,24,163,15
124,177,164,15
133,131,165,15
50,236,166,15
30,128,167,15
64,30,168,15
216,128,169,15
192,189,170,15
